State Name, State Region
CT, northeast
ME, northeast
MA, northeast
NH, northeast
RI, northeast
VT, northeast
NJ, northeast
NY, northeast
PA, northeast
IL, midwest
IN, midwest
MI, midwest
OH, midwest
WI, midwest
IA, midwest
KS, midwest
MN, midwest
MS, midwest
NE, midwest
ND, midwest
SD, midwest
MO, midwest
AZ, west
CO, west
ID, west
MT, west
NV, west
NM, west
UT, west
WY, west
AK, west
CA, west
HI, west
OR, west
WA, west
AL, south
AR, south
DC, south
DE, south
FL, south
GA, south
KY, south
LA, south
MD, south
NC, south
OK, south
SC, south
TN, south
TX, south
VA, south
WV, south
